"outcome","label","family","desirable_direction","answer_only_rate","formalised_rate","risk_difference","hc2_standard_error","ci_95_lower","ci_95_upper","p_value","holm_adjusted_p"
"auditable_correct_answer_human","Strict committed correctness","confirmatory","positive",0.631944444444444,0.590277777777778,-0.0416666666666666,0.0406583704613275,-0.121355608440956,0.0380222751076225,0.305457930690532,NA
"identifies_nurse_as_samis_father_human","Identifies father solution","exploratory","positive",0.638888888888889,0.743055555555556,0.104166666666667,0.0383289391063747,0.0290433264525433,0.17929000688079,0.00657368480847863,0.00721180608961865
"answer_contradictory_human","Contains contradiction","exploratory","negative",0.361111111111111,0.25,-0.111111111111111,0.0381729913706719,-0.185928799379786,-0.0362934228424354,0.00360590304480933,0.00721180608961865
"unresolved_possibility_human","Leaves answer as unresolved possibility","exploratory","context-dependent",0.00694444444444444,0.170138888888889,0.163194444444446,0.0227153163659234,0.118673242469803,0.207715646419089,6.75350425373539e-13,2.70140170149416e-12
"answer_ambiguous_human","Coded ambiguous","exploratory","negative",0.00347222222222222,0.0972222222222222,0.0937500000000009,0.0178290593574933,0.0588056857810873,0.128694314218915,1.45417262797416e-07,4.36251788392249e-07
